Country/area,Technology,2019,2020,2021,2022,2023
Eritrea,Solar thermal energy,,,,,
Estonia,Concentrated solar power,,,,,
Estonia,Marine energy,,,,,
Estonia,Nuclear,,,,,
Estonia,Offgrid solar photovoltaic,,,,,
Estonia,Offshore wind energy,,,,,
Estonia,Ongrid solar photovoltaic,,10.55,,,22.8
Estonia,Onshore wind energy,,,,84.24,
Estonia,Pumped storage,,,,,
Estonia,Renewable hydropower,,,,,
Estonia,Solar thermal energy,,,,,
Eswatini,Concentrated solar power,,,,,
Eswatini,Marine energy,,,,,
Eswatini,Nuclear,,,,,
Eswatini,Offgrid solar photovoltaic,0.5,0.03,,,
Eswatini,Offshore wind energy,,,,,
Eswatini,Ongrid solar photovoltaic,1.02,,0.23,0.07,0.34
Eswatini,Onshore wind energy,,,,,
Eswatini,Pumped storage,,,,,
Eswatini,Renewable hydropower,,,,,
Eswatini,Solar thermal energy,,,,,
Ethiopia,Concentrated solar power,,,,,
Ethiopia,Marine energy,,,,,
Ethiopia,Nuclear,,,,,
Ethiopia,Offgrid solar photovoltaic,1.67,0.06,0.01,0.63,1.52
Ethiopia,Offshore wind energy,,,,,
Ethiopia,Ongrid solar photovoltaic,0.01,,376.16,,
Ethiopia,Onshore wind energy,56.4,,22.76,0.08,20.52
Ethiopia,Pumped storage,,,,,
Ethiopia,Renewable hydropower,0,1.3,,,
Ethiopia,Solar thermal energy,0.42,,0.04,,
European Union (27),Concentrated solar power,,,,,
European Union (27),Marine energy,,,,,
European Union (27),Nuclear,,,,,
European Union (27),Offgrid solar photovoltaic,,,,,
European Union (27),Offshore wind energy,,,,,
European Union (27),Ongrid solar photovoltaic,,,,,
European Union (27),Onshore wind energy,,,,,
European Union (27),Pumped storage,,,,,
European Union (27),Renewable hydropower,,,,,
European Union (27),Solar thermal energy,,,,,
Fiji,Concentrated solar power,,,,,
Fiji,Marine energy,,,,,
Fiji,Nuclear,,,,,
Fiji,Offgrid solar photovoltaic,,0.04,,,0.72
Fiji,Offshore wind energy,,,,,
Fiji,Ongrid solar photovoltaic,0.01,4.01,0.01,,
Fiji,Onshore wind energy,,,,,
Fiji,Pumped storage,,,,,
Fiji,Renewable hydropower,0,,0.48,,0.32
Fiji,Solar thermal energy,,,,,
Finland,Concentrated solar power,,,,,
Finland,Marine energy,,,,,
Finland,Nuclear,,,,,
Finland,Offgrid solar photovoltaic,,,,,
Finland,Offshore wind energy,,,,,
Finland,Ongrid solar photovoltaic,,,,,
Finland,Onshore wind energy,,,65.59,,65.83
Finland,Pumped storage,,,,,
Finland,Renewable hydropower,,134.2,,,65.83
