country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
AND,Andorra,Europe,onshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,onshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,onshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,onshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,other_non_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,other_non_renewable_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,other_non_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,other_non_renewable_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,pumped_storage_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,pumped_storage_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,pumped_storage_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,pumped_storage_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,renewable_hydropower_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,renewable_hydropower_gen_gwh_on_grid,136.62,121.4,78.83,67.2,69.93,NA
AND,Andorra,Europe,renewable_hydropower_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,renewable_hydropower_cap_mw_on_grid,46,46,46,46,46,46
AND,Andorra,Europe,solar_pv_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,solar_pv_gen_gwh_on_grid,0.72,0.94,1.26,1.57,4.27,NA
AND,Andorra,Europe,solar_pv_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,solar_pv_cap_mw_on_grid,1.99,3.08,4.35,5.63,8.73,8.73
AND,Andorra,Europe,solar_thermal_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,solar_thermal_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,solar_thermal_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,solar_thermal_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,total_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,total_renewable_gen_gwh_on_grid,158.88,142.17,96.98,87.53,90.81,NA
AND,Andorra,Europe,total_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,total_renewable_cap_mw_on_grid,52.99,54.08,55.35,56.63,59.73,59.73
AGO,Angola,Africa,renewable_elec_pct,85.1461543592822,84.8757500454573,91.7136027244744,NA,NA,NA
AGO,Angola,Africa,renewable_prod_kwh,2014260000,1603650000,2902750000,NA,NA,NA
AGO,Angola,Africa,hydro_elec_pct,71.709692482156,75.1560700648524,72.70286200799,70.4244115967773,NA,NA
AGO,Angola,Africa,renewable_prod_pct,13.4364618771263,9.71967998060489,19.0107407164844,NA,NA,NA
AGO,Angola,Africa,energy_invest_private_usd,NA,NA,NA,NA,NA,NA
